node,address,is_infra,chain_id,year,month,in_degree,out_degree,in_transfer_count,out_transfer_count,total_input_amount,total_output_amount,balance_proxy,self_loop_count,two_node_loop_count,two_node_loop_amount,two_node_loop_tx_count,triangle_loop_count,triangle_loop_amount,triangle_loop_tx_count,egonet_node_count,egonet_edge_count,egonet_density
0,0x00000000006c3852cbef3e08e8df289169ede581,1,1,2023,1,,,,,,,,,,,,,,,,,
1,0x0000a26b00c1f0df003000390027140000faa719,1,1,2023,1,,,,,,,,,,,,,,,,,
2,0x05fa91c59008813c95ec49e7dbcdd8890cc99fb7,0,1,2023,1,1.0,0.0,1.0,0.0,4995000000000000.0,0,4995000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,0x204552e33c3500d346ab257dc159b9f9f597fc91,0,1,2023,1,1.0,0.0,3.0,0.0,8470000000000000.0,0,8470000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,0x22be5f8a44765ba842c1ae2375d9d8137150bba6,0,1,2023,1,1.0,0.0,1.0,0.0,4.7175e+16,0,47175000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,0x2dcc7c4ab800bf67380e2553be1e6891a36f18e7,0,1,2023,1,1.0,0.0,1.0,0.0,1767000000000000.0,0,1767000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,0x37f7be01a006efc949c215c86a8ce51a93f5ac6a,0,1,2023,1,1.0,0.0,1.0,0.0,4.625e+16,0,46250000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,0x5198b9cafaa588870d10a127f1e249b18c0fa2bd,0,1,2023,1,1.0,0.0,1.0,0.0,4615750000000000.0,0,4615750000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,0x55ad3bbafaccb70f646c50a6699bf50bfc3ed603,0,1,2023,1,1.0,0.0,1.0,0.0,9231500000000000.0,0,9231500000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,0x88ae9b800ad8cd6c4608564083c2cc1ffcf5f9e8,0,1,2023,1,1.0,0.0,1.0,0.0,615000000000000.0,0,615000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,0x91fbe07758def2ec4a8ce341e0b2cabccb12cf54,0,1,2023,1,1.0,0.0,1.0,0.0,9231500000000000.0,0,9231500000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,0xa09bc35214e94708e20199179827b561e9c8d24e,0,1,2023,1,1.0,0.0,1.0,0.0,1.13775e+16,0,11377500000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,0xc7b19a41771cd15ec804fb202ae8bf13cf2c6f0b,0,1,2023,1,1.0,0.0,1.0,0.0,6.327e+16,0,63270000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13,0xe97103c3c8aa58709c2920c831d1baf97d5dd5d1,0,1,2023,1,1.0,0.0,1.0,0.0,4615750000000000.0,0,4615750000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,0x0149ed51d951ac20eb56a49c6b1850d60c59711c,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,90000000000000000,-90000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,1,1,2023,1,,,,,,,,,,,,,,,,,
16,0x06012c8cf97bead5deae237070f9587f8e7a266d,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,8000000000000000,-8000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
17,0xab5622d7da96c571c6abe08e4b85e462eb666e4f,0,1,2023,1,1.0,0.0,1.0,0.0,8000000000000000.0,0,8000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
18,0x09bddabe4216ab0657c8a96df92793f4a258677e,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,165301382633421183,-165301382633421183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19,0x28c6c06298d514db089934071355e5743bf21d60,1,1,2023,1,,,,,,,,,,,,,,,,,
20,0x10774202e45b3fcbc4c7613bba9d583ad853037b,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,137751190000000000,-137751190000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
21,0xd5eab5726bcd05a62becc74bdac5df9c7fa93622,0,1,2023,1,1.0,0.0,1.0,0.0,1.3775119e+17,0,137751190000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
22,0x110ceb8723bd40dc0124e223d13c18be8369167b,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,21099349000000000000,-21099349000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,0x7c195d981abfdc3ddecd2ca0fed0958430488e34,1,1,2023,1,,,,,,,,,,,,,,,,,
24,0x12d27c5b6870642136344f776aabd97a5b6b0c20,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,52437368471208896,-52437368471208896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
25,0x29d5527caa78f1946a409fa6acaf14a0a4a0274b,0,1,2023,1,2.0,1.0,2.0,1.0,3.524373684712089e+17,207508880000000000,144928488471208896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.25
26,0x15ece0d7de25436bcfcf3d62a9085ddc7838aee9,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,37000000000000000,-37000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
27,0x867ae719902f8ba4aaf475edb342cd59bdb6804a,0,1,2023,1,1.0,0.0,1.0,0.0,3.7e+16,0,37000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
28,0x1689a089aa12d6cbbd88bc2755e4c192f8702000,1,1,2023,1,,,,,,,,,,,,,,,,,
29,0x6dfd404a0def11b58b464dd17092e855e46f8a42,0,1,2023,1,1.0,0.0,1.0,0.0,4335000000000000.0,0,4335000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
30,0x181f01643d899097b8d52996180632882afa867e,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,237879531374684329,-237879531374684329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
31,0x1855ae1fffa2bd43078614e9cfeb18f425d347ac,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,15000000000000000,-15000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
32,0x1c63963685e5e83f921aec073eff44fdbd693406,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,279046494114011715,-279046494114011715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
33,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,1,1,2023,1,,,,,,,,,,,,,,,,,
34,0x1c727a55ea3c11b0ab7d3a361fe0f3c47ce6de5d,0,1,2023,1,0.0,2.0,0.0,2.0,0.0,550922631775642639,-550922631775642639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.3333333333333333
35,0x1b1f7f5e38bd9e23c8cc4170984ea80d08e20259,0,1,2023,1,1.0,0.0,1.0,0.0,4.8060686481014936e+16,0,48060686481014934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
36,0x4c09c9ecf9eac125958a4bc02e8c3d6d39c1a0f5,0,1,2023,1,1.0,0.0,1.0,0.0,5.028619452946277e+17,0,502861945294627705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
37,0x2088eff304facbb64ff37ae469b6e89e61390c76,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,18811081873648707573,-18811081873648707573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
38,0x20977658df98841d72d001bae43c5501553eabe9,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,100000000000000,-100000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
39,0x99027c41f74b38862f53bda999881d8389fc6a92,0,1,2023,1,1.0,0.0,1.0,0.0,100000000000000.0,0,100000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
40,0x21a31ee1afc51d94c2efccaa2092ad1028285549,1,1,2023,1,,,,,,,,,,,,,,,,,
41,0x001fd67583b0a575ff4aa1825405e94221611cce,0,1,2023,1,1.0,0.0,1.0,0.0,2.488e+17,0,248800000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42,0x21ddf1db140aa2855f3a1c4377ea35e4a097a1c3,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,68400000000000000,-68400000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,1,1,2023,1,,,,,,,,,,,,,,,,,
44,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,1,2023,1,,,,,,,,,,,,,,,,,
45,0x264733d825a749a1c1168551303abf4f3f71b46a,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,400000000000000000,-400000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
46,0x0e8bff23f229d98e422f51b86c7eb2d3efab96bf,0,1,2023,1,1.0,0.0,1.0,0.0,4e+17,0,400000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
47,0x272334d31fe14f3f0da1e30fb8afa3f244ca9535,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,1158284291536027600,-1158284291536027600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48,0xdef1c0ded9bec7f1a1670819833240f027b25eff,1,1,2023,1,,,,,,,,,,,,,,,,,
49,0x283af0b28c62c092c9727f1ee09c02ca627eb7f5,1,1,2023,1,,,,,,,,,,,,,,,,,
50,0x61fda88dd761b8c79e5e03725ed7ba9ce3b10193,0,1,2023,1,1.0,1.0,1.0,1.0,1255272615307157.0,13807998768378729,-12552726153071572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
51,0xa12d05a7656be9dd46f575182893ec94193cc60e,0,1,2023,1,1.0,0.0,1.0,0.0,2.0750888e+17,0,207508880000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
52,0x2c96eb9d9744aa007ab0555daa329c1f09cfc6bf,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,300000000000000000,-300000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
53,0x2e0239b77856efd5ab20b3d09dc0eb494b3e522d,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,20000000000000000,-20000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
54,0x5572303165aa526a52f0c69b2215d292e734af13,0,1,2023,1,1.0,0.0,1.0,0.0,2e+16,0,20000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
55,0x2e9f2ff5a16a80db3dd9998eee9147b5da585124,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,245534261274948000,-245534261274948000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
56,0x912fd21d7a69678227fe6d08c64222db41477ba0,0,1,2023,1,1.0,0.0,1.0,0.0,2.45534261274948e+17,0,245534261274948000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
57,0x30cc4096861925584aed2121c28ef7873c4c7c32,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,1304629627926264000,-1304629627926264000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
58,0xfa9f7a1cbfbcb688729c522b4f0905ccf4d26d25,0,1,2023,1,1.0,0.0,1.0,0.0,1.304629627926264e+18,0,1304629627926264000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
59,0x342d0c672253bef4e4271d1ec2672b0466c11b82,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,94680401932022000,-94680401932022000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
60,0x34bf571ada242ba0386bf287f436cf15c7c1a598,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,555039300467780000,-555039300467780000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
61,0x35c7f81e953c61ab42d0a052f0fadea82fb0f362,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,50000000000000000,-50000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
62,0x387f4e215ac1299a125e905aed48e9c6ea5c4470,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,66810503111045210,-66810503111045210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
63,0xe66b31678d6c16e9ebf358268a790b763c133750,1,1,2023,1,,,,,,,,,,,,,,,,,
64,0x3bc77fc3129827864b88b5859f9c3737f57a13ca,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,10500581381077475,-10500581381077475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
65,0x0bcf6ec45d7f86a1ba52ff29dc856eca913349eb,0,1,2023,1,1.0,0.0,1.0,0.0,1.0500581381077476e+16,0,10500581381077475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
66,0x3cd751e6b0078be393132286c442345e5dc49699,1,1,2023,1,,,,,,,,,,,,,,,,,
67,0x57afad8d54dec8d995c9e48a3c1b5f6393d1125e,0,1,2023,1,1.0,0.0,1.0,0.0,1.5e+18,0,1500000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
68,0x4249940c339bc3a1ac5e886697b030deb2f9ec6c,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,159589816804931591,-159589816804931591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
69,0x44e94034afce2dd3cd5eb62528f239686fc8f162,1,1,2023,1,,,,,,,,,,,,,,,,,
70,0x3ed9707718a0a41464c905aed5fbc5a067236c0e,0,1,2023,1,1.0,0.0,1.0,0.0,1e+17,0,100000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
71,0x456a713a786aab801a762ffcf87f12044fa00b76,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,250247673946588470,-250247673946588470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
72,0x4ba86ca2797691d1af5af268c92f63c1df5bf366,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,49655032251413000,-49655032251413000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
73,0xcbd6832ebc203e49e2b771897067fce3c58575ac,1,1,2023,1,,,,,,,,,,,,,,,,,
74,0x4e32b054c412ebe4b5de70857d260dbb17405aba,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,125838712964573386,-125838712964573386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
75,0x4e5fbf34d37d2caaa5bde1b2cde181190d55b4d4,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,835234870239382346,-835234870239382346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
76,0x4e80744fa23cec76e1621ce0dfaceb4b1d532e12,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,41469657786595001,-41469657786595001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
77,0x6e77603361df25a08558ba9fa6b7b3102c9a2824,0,1,2023,1,1.0,0.0,1.0,0.0,4.1469657786595e+16,0,41469657786595001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
78,0x4fb32fce97bf9e16b525b379802fb171fb869526,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,51000000000000000,-51000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
79,0x50be13b54f3eebbe415d20250598d81280e56772,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,314345650000000000,-314345650000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
80,0xf2bbc1db6666cfedfad239930505f47f5029171b,0,1,2023,1,1.0,0.0,1.0,0.0,3.1434565e+17,0,314345650000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
81,0x520d4e8a9dc6001e6e25c501c372c9ef1d517083,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,35340000000000000,-35340000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
82,0x59728544b08ab483533076417fbbb2fd0b17ce3a,0,1,2023,1,2.0,1.0,2.0,2.0,1.2765119948017398e+18,1276511994801739860,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.3333333333333333
83,0x5b407fb13c790d663ad80995eefc9b106dfa968a,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,1289834206783787266,-1289834206783787266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
84,0x62b8d788634d2783615e031e9936adf7da1af0ba,0,1,2023,1,1.0,0.0,1.0,0.0,1.2898342067837873e+18,0,1289834206783787266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
85,0x603ffd27c2914cf22851eda2c2e5bea13338027a,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,163097363743905970,-163097363743905970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
86,0x6220ce7e7203267c8b7d4deaf679627561d05b46,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,92285291186842000,-92285291186842000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
87,0x62455826ae32118be50b59948dc63519d50f1262,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,178716727610308340,-178716727610308340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
88,0x6522cb212d39b85770a99e1870982f25403a2940,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,1276411994801739860,-1276411994801739860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
